RamanShift,Residual
888.0,0.19817901234896046
889.0,0.16321194759579372
890.0,0.10006753784178446
891.0,0.14093806649657428
892.0,0.19960478968029405
893.0,0.22076926140266842
894.0,0.2215115091775202
895.0,0.20515922843519258
896.0,0.12053027175404296
897.0,0.04121542445221285
898.0,0.02885732207896191
899.0,0.014117124636904899
900.0,-0.002606109029045456
901.0,-0.022430149936119526
902.0,-0.041683918917668095
903.0,-0.05926034639805744
904.0,-0.0754925666092181
905.0,-0.08816733698149753
906.0,-0.15467620744521515
907.0,-0.19742336611364353
908.0,-0.16846388845877808
909.0,-0.12123294617424352
910.0,-0.08935616187871503
911.0,-0.13600865467940423
912.0,-0.1480333082603865
913.0,-0.08672416757942855
914.0,-0.04149242433345959
915.0,-0.0013969118372398615
916.0,0.07310374899611746
917.0,0.10546261217102271
918.0,0.10447365208089762
919.0,0.06660711290016899
920.0,0.028329461376277787
921.0,0.0926974197094746
922.0,0.11617814715634323
923.0,0.08820296516653228
924.0,0.13345473363565982
925.0,0.16572569377120178
926.0,0.06708849955864649
927.0,0.0505250278787103
928.0,0.1069593271975522
929.0,0.11614742842936639
930.0,0.1133098623984323
931.0,0.10963208549106788
932.0,0.12288927155746418
933.0,0.1477495272765571
934.0,0.13462459955403372
935.0,0.12399035095577636
936.0,0.12169491950180401
937.0,0.07645888259201272
938.0,0.012909161557782572
939.0,-0.012867042050219518
940.0,-0.031004866145316945
941.0,-0.05404208495466809
942.0,-0.010313370315663456
943.0,0.050015467606252736
944.0,0.08641588839134583
945.0,0.06854552720594292
946.0,-0.0049004610462002815
947.0,0.008069028616333886
948.0,0.019071182788314503
949.0,-0.0019422783027477006
950.0,-0.009555299336213366
951.0,-0.007779114979699409
952.0,0.007283132050788031
953.0,0.018818406934349684
954.0,0.0215054044762474
955.0,-0.0069303165719799414
956.0,-0.04528992382964321
957.0,-0.005547081488335104
958.0,-0.0013997583739290623
959.0,-0.045757460538735716
960.0,-0.022697607299423425
961.0,0.008660027854366065
962.0,-0.008758527693456412
963.0,-0.024713480916086515
964.0,-0.03830635912056003
965.0,-0.05705139652449763
966.0,-0.06649992949228835
967.0,-0.051009325451060655
968.0,-0.055080984597336125
969.0,-0.0696361247138558
970.0,-0.06930009197254494
971.0,-0.07328140660343996
972.0,-0.07726272123433496
973.0,-0.07859335468376125
974.0,-0.07800467951863377
975.0,-0.05284847864535849
976.0,-0.04848972511513645
977.0,-0.06383868435886694
978.0,-0.06673826579085426
979.0,-0.06622620937800534
980.0,-0.08937077012405131
981.0,-0.09317451067755993
982.0,-0.08573184319918958
983.0,-0.07751116284404283
984.0,-0.05499043062570955
985.0,-0.010704177169471911
986.0,-0.02798673734997167
987.0,-0.05405121040592336
988.0,-0.005370165416237638
989.0,0.001045215334974911
990.0,-0.0295012932478819
991.0,-0.058788784691783114
992.0,-0.08062105945895019
993.0,-0.08458594201518047
994.0,-0.011501757810898364
995.0,0.08976109667565653
996.0,0.04949047389665717
997.0,0.02936765675615234
998.0,0.03485618626762149
999.0,0.06090412771247615
1000.0,0.07741157204146916
1001.0,0.04276518915936492
1002.0,0.051932106046277876
1003.0,0.0870327352786081
1004.0,0.03317346489488701
1005.0,0.008624883761571611
1006.0,0.039529535122306295
1007.0,0.09659752835010152
1008.0,0.14194110453014794
1009.0,0.053192563629551756
1010.0,0.04123920511354792
1011.0,0.10986442490209841
1012.0,0.03493211447204739
1013.0,-0.020270274353420492
1014.0,0.004334644928606607
1015.0,0.0028499440006625743
1016.0,-0.010572242648771601
1017.0,-0.027935344403612644
1018.0,-0.029766345136528455
1019.0,-0.009494162019514252
1020.0,-0.047516876243317296
1021.0,-0.09453761485105977
1022.0,-0.13964469100229657
1023.0,-0.1853876541449008
1024.0,-0.23187233577974092
1025.0,-0.2609609534449018
1026.0,-0.24062606036731093
1027.0,-0.16872486567654282
1028.0,-0.1712373292250554
1029.0,-0.17814268483631138
1030.0,-0.14204000487401283
1031.0,-0.07973537822955835
1032.0,-0.0013496340275748475
1033.0,-0.04625214575571426
1034.0,-0.07020809828442265
1035.0,-0.052337840407932476
1036.0,-0.010811967155244878
1037.0,0.028387702957104938
1038.0,0.03381328012871726
