RamanShift,y_exp,LTA_fit
334.0,0.20828032541549357,0.33827774146038925
335.0,0.2086838611912564,0.3589349818532028
336.0,0.20255157317243003,0.3858002472836281
337.0,0.20106962518691468,0.42279439567015714
338.0,0.21496664624695483,0.4597885440566861
339.0,0.19745546372234707,0.49678269244321516
340.0,0.12650754087909238,0.5337768408297442
341.0,0.10073242812695524,0.5707709892162732
342.0,0.1185514848166048,0.5782563315377046
343.0,0.154250172079073,0.5625561833794169
344.0,0.1996484025149985,0.5468560352211294
345.0,0.20993010913487964,0.5083247001400726
346.0,0.21078755465976567,0.45749964902368045
347.0,0.24479459364195355,0.4066745979072883
348.0,0.27551140967316745,0.35584954679089636
349.0,0.22983515570455013,0.30502449567450424
350.0,0.20102120056306857,0.30024742710691976
351.0,0.23452984933911147,0.3069823541765364
352.0,0.26238764006372084,0.31371728124615306
353.0,0.280016856526935,0.32045220831576965
354.0,0.24636063602054242,0.34113353406798264
355.0,0.16131043211163085,0.3630275901404211
356.0,0.19989415448696185,0.38492164621285957
357.0,0.3068871774640155,0.4045646177489896
358.0,0.2581759615509909,0.3701815604137464
359.0,0.16777288734079956,0.3357985030785033
360.0,0.2123231792362196,0.30141544574326007
361.0,0.26072749047144467,0.26703238840801696
362.0,0.24545464781003556,0.233615677856539
363.0,0.24452583672487654,0.20431865622532322
364.0,0.29216329428273535,0.1750216345941075
365.0,0.3134279964974477,0.1600013755460473
366.0,0.2908894449138197,0.1816927917118101
367.0,0.2682044235932778,0.20338420787757291
368.0,0.24538651323588512,0.22507562404333573
369.0,0.23161756649338722,0.24676704020909856
370.0,0.22223534582423157,0.26845845637486143
371.0,0.24283000503429092,0.294222064166776
372.0,0.26985428600954825,0.3247660708241722
373.0,0.25706453297657395,0.3381145671961039
374.0,0.24668672665810432,0.33559028484299014
375.0,0.2605787444345581,0.3330660024898764
376.0,0.2636717662922485,0.33054172013676264
377.0,0.23861261048507423,0.3280174377836489
378.0,0.2271766910418573,0.3254931554305352
379.0,0.23380544993474917,0.3229688730774214
380.0,0.21556840784097966,0.3058426009502796
381.0,0.1795668026693482,0.2851108311540702
382.0,0.14645853543221365,0.2649459787077821
383.0,0.11438088446682865,0.24478112626149404
384.0,0.1586895527504022,0.22461627381520585
385.0,0.20619951385187493,0.20445142136891778
386.0,0.13282907795136017,0.1842865689226297
387.0,0.07107317058600232,0.16412171647634158
388.0,0.05471787047766022,0.14395686403005348
389.0,0.03886994056360228,0.15836129954258207
390.0,0.02392185608548714,0.1727657350551107
391.0,0.043061476970680274,0.18717017056763927
392.0,0.0939094244416473,0.20157460608016792
393.0,0.13450322869718276,0.21597904159269649
394.0,0.17018920340809993,0.2303834771052251
395.0,0.14619857837869557,0.24478791261775368
396.0,0.110434760126353,0.2534295512765851
397.0,0.15559454827875596,0.24304617527834396
398.0,0.19016973729116599,0.23056429814602766
399.0,0.1648128072308623,0.21808242101371136
400.0,0.15031959451884733,0.20560054388139506
401.0,0.15932757188043192,0.19311866674907877
