Dataset,RamanShift,Intensity,Intensity_norm
Glycerol-Phosphate,2578.56,0.461699826,0.007837379677907203
Glycerol-Phosphate,2587.2,0.811820795,0.013780702184703595
Glycerol-Phosphate,2595.8399999999997,1.7735939,0.03010685299396275
Glycerol-Phosphate,2604.48,6.173092658,0.10478858388750477
Glycerol-Phosphate,2613.12,38.02536812,0.6454826936595562
Glycerol-Phosphate,2621.7599999999998,6.379928933,0.1082996409142818
Glycerol-Phosphate,2630.4,1.807261587,0.030678363813410058
Glycerol-Phosphate,2639.04,0.822338969,0.013959248760885955
Glycerol-Phosphate,2647.68,0.466221719,0.007914139057720941
Glycerol-Phosphate,2656.3199999999997,0.299410222,0.005082504816149712
Glycerol-Phosphate,2664.96,0.208288426,0.0035357073690464812
Glycerol-Phosphate,2673.6,0.153179026,0.002600222304294347
Glycerol-Phosphate,2682.24,0.117347183,0.0019919748189462334
Glycerol-Phosphate,2690.88,0.092753432,0.001574494557017545
Glycerol-Phosphate,2699.52,0.075148635,0.0012756521696663278
Glycerol-Phosphate,2708.16,0.062116472,0.0010544304933658168
Glycerol-Phosphate,2716.7999999999997,0.052200906,0.0008861132207850218
Glycerol-Phosphate,2725.44,0.044482283,0.0007550891752147142
Glycerol-Phosphate,2734.08,0.038356643,0.0006511061027797346
Glycerol-Phosphate,2742.72,0.051000164,0.0008657305599754212
Glycerol-Phosphate,2751.3599999999997,0.049164373,0.0008345679078234037
Glycerol-Phosphate,2760.0,0.064746626,0.0010990775006821383
Glycerol-Phosphate,2768.64,0.043955634,0.0007461492797727996
Glycerol-Phosphate,2777.2799999999997,0.050320361,0.0008541908670469245
Glycerol-Phosphate,2785.92,0.070752497,0.0012010274878227706
Glycerol-Phosphate,2794.56,0.096809569,0.0016433477033789376
Glycerol-Phosphate,2803.2,0.113199987,0.001921575941103256
Glycerol-Phosphate,2811.8399999999997,0.148478175,0.0025204251026894457
Glycerol-Phosphate,2820.48,0.185325685,0.003145913590648032
Glycerol-Phosphate,2829.12,0.274818524,0.004665059404007774
Glycerol-Phosphate,2837.7599999999998,0.338897328,0.0057528005898885735
Glycerol-Phosphate,2846.4,0.432515703,0.007341977601412281
Glycerol-Phosphate,2855.04,0.580262935,0.009849994906889543
Glycerol-Phosphate,2863.68,0.842584989,0.01430292605243101
Glycerol-Phosphate,2872.3199999999997,1.41956572,0.024097205367761405
Glycerol-Phosphate,2880.96,3.224118573,0.054729588274077826
Glycerol-Phosphate,2889.6,16.35071101,0.27755420940771064
Glycerol-Phosphate,2898.24,11.56379678,0.1962960797889076
Glycerol-Phosphate,2906.88,9.465764062,0.16068186019932165
Glycerol-Phosphate,2915.52,22.68062422,0.3850048307015777
Glycerol-Phosphate,2924.16,7.408940533,0.12576716883613717
Glycerol-Phosphate,2932.7999999999997,21.81725337,0.3703490635272417
Glycerol-Phosphate,2941.44,12.07133071,0.20491149587708773
Glycerol-Phosphate,2950.08,22.56953832,0.3831191415023749
Glycerol-Phosphate,2958.72,21.22627753,0.36031721647484505
Glycerol-Phosphate,2967.3599999999997,24.88240335,0.4223801512820585
Glycerol-Phosphate,2976.0,58.9099731,1.0
Glycerol-Phosphate,2984.64,22.46114992,0.3812792425125042
Glycerol-Phosphate,2993.2799999999997,5.872490132,0.09968583964605478
Glycerol-Phosphate,3001.92,3.270822057,0.055522382457173454
