filepath,filename,sec,power,replicate,snr,fwhm,max_intensity,score,n_peaks
.\Int_10sec_Power5-80_Ta_2\sec-10_power-75_i-2_2.xlsx,sec-10_power-75_i-2_2.xlsx,10,75,2,26.23966179026251,40.40153264099825,1.0,13.32725635600834,81
.\All_Excel_Files\sec-10_power-75_i-2_2.xlsx,sec-10_power-75_i-2_2.xlsx,10,75,2,26.23966179026251,40.40153264099825,1.0,13.32725635600834,81
.\All_Excel_Files\sec-15_power-25_i-2.xlsx,sec-15_power-25_i-2.xlsx,15,25,1,25.979622030620522,12.07691842528548,1.0,13.214651789209327,90
.\Int_15sec_Power5-80_Ta_2\sec-15_power-25_i-2.xlsx,sec-15_power-25_i-2.xlsx,15,25,1,25.979622030620522,12.07691842528548,1.0,13.214651789209327,90
.\All_Excel_Files\sec-25_power-5_i-2_1.xlsx,sec-25_power-5_i-2_1.xlsx,25,5,1,25.79731218415505,10.985876465435588,1.0,13.125963881396281,91
.\Int_25sec_Power5-80_Ta_2\good peak\sec-25_power-5_i-2.xlsx,sec-25_power-5_i-2.xlsx,25,5,1,25.79731218415505,10.985876465435588,1.0,13.125963881396281,91
.\Int_25sec_Power5-80_Ta_2\sec-25_power-20_i-2.xlsx,sec-25_power-20_i-2.xlsx,25,20,1,24.540713559665733,27.030399296705713,1.0,12.481455395014498,80
.\All_Excel_Files\sec-25_power-20_i-2.xlsx,sec-25_power-20_i-2.xlsx,25,20,1,24.540713559665733,27.030399296705713,1.0,12.481455395014498,80
.\All_Excel_Files\sec-10_power-30_i-2.xlsx,sec-10_power-30_i-2.xlsx,10,30,1,23.91797689819874,41.6405571735223,1.0,12.166192963648728,89
.\Int_10sec_Power5-80_Ta_2\sec-10_power-30_i-2.xlsx,sec-10_power-30_i-2.xlsx,10,30,1,23.91797689819874,41.6405571735223,1.0,12.166192963648728,89
.\Int_10sec_Power5-80_Ta_2\good peak\sec-10_power-10_i-2_2.xlsx,sec-10_power-10_i-2_2.xlsx,10,10,2,22.609109530393983,11.212969139001695,1.0,11.531309498602662,91
.\All_Excel_Files\sec-10_power-10_i-2_2.xlsx,sec-10_power-10_i-2_2.xlsx,10,10,2,22.609109530393983,11.212969139001695,1.0,11.531309498602662,91
.\All_Excel_Files\sec-10_power-35_i-2.xlsx,sec-10_power-35_i-2.xlsx,10,35,1,21.73274307915628,41.568011749172435,1.0,11.073588627607517,101
.\Int_10sec_Power5-80_Ta_2\sec-10_power-35_i-2.xlsx,sec-10_power-35_i-2.xlsx,10,35,1,21.73274307915628,41.568011749172435,1.0,11.073588627607517,101
.\All_Excel_Files\sec-10_power-10_i-2_3.xlsx,sec-10_power-10_i-2_3.xlsx,10,10,3,21.48029930056246,10.963846175548621,1.0,10.967512310719595,91
.\Int_10sec_Power5-80_Ta_2\good peak\sec-10_power-10_i-2_3.xlsx,sec-10_power-10_i-2_3.xlsx,10,10,3,21.48029930056246,10.963846175548621,1.0,10.967512310719595,91
.\All_Excel_Files\sec-25_power-5_i-2.xlsx,sec-25_power-5_i-2.xlsx,25,5,1,21.296427718970165,26.805450301874195,1.0,10.859405613274758,91
.\Int_25sec_Power5-80_Ta_2\sec-25_power-5_i-2.xlsx,sec-25_power-5_i-2.xlsx,25,5,1,21.296427718970165,26.805450301874195,1.0,10.859405613274758,91
.\Int_10sec_Power5-80_Ta_2\sec-10_power-80_i-2.xlsx,sec-10_power-80_i-2.xlsx,10,80,1,21.234260072600488,42.765734654846405,1.0,10.824144998218266,97
.\All_Excel_Files\sec-10_power-80_i-2.xlsx,sec-10_power-80_i-2.xlsx,10,80,1,21.234260072600488,42.765734654846405,1.0,10.824144998218266,97
.\All_Excel_Files\sec-25_power-15_i-2.xlsx,sec-25_power-15_i-2.xlsx,25,15,1,20.89686322894781,25.526630070459216,1.0,10.660184047097088,78
.\Int_25sec_Power5-80_Ta_2\sec-25_power-15_i-2.xlsx,sec-25_power-15_i-2.xlsx,25,15,1,20.89686322894781,25.526630070459216,1.0,10.660184047097088,78
.\Int_15sec_Power5-80_Ta_2\sec-15_power-20_i-2.xlsx,sec-15_power-20_i-2.xlsx,15,20,1,20.629737021511882,11.7044894439944,1.0,10.540499701371772,93
.\All_Excel_Files\sec-15_power-20_i-2.xlsx,sec-15_power-20_i-2.xlsx,15,20,1,20.629737021511882,11.7044894439944,1.0,10.540499701371772,93
.\All_Excel_Files\sec-10_power-40_i-2.xlsx,sec-10_power-40_i-2.xlsx,10,40,1,20.653647597471466,34.852581023702456,1.0,10.535431482619918,90
.\Int_10sec_Power5-80_Ta_2\sec-10_power-40_i-2.xlsx,sec-10_power-40_i-2.xlsx,10,40,1,20.653647597471466,34.852581023702456,1.0,10.535431482619918,90
.\Int_20sec_Power5-80_Ta_2\good peaks\sec-20_power-50_i-2.xlsx,sec-20_power-50_i-2.xlsx,20,50,1,20.575846198527852,41.68005229035319,1.0,10.495120786970988,70
.\Int_20sec_Power5-80_Ta_2\sec-20_power-50_i-2.xlsx,sec-20_power-50_i-2.xlsx,20,50,1,20.575846198527852,41.68005229035319,1.0,10.495120786970988,70
.\All_Excel_Files\sec-20_power-50_i-2.xlsx,sec-20_power-50_i-2.xlsx,20,50,1,20.575846198527852,41.68005229035319,1.0,10.495120786970988,70
.\All_Excel_Files\sec-20_power-50_i-2_1.xlsx,sec-20_power-50_i-2_1.xlsx,20,50,1,20.575846198527852,41.68005229035319,1.0,10.495120786970988,70
.\Int_20sec_Power5-80_Ta_2\sec-20_power-20_i-2.xlsx,sec-20_power-20_i-2.xlsx,20,20,1,19.41979595623962,27.43870679960363,1.0,9.920831438001539,92
.\All_Excel_Files\sec-20_power-20_i-2.xlsx,sec-20_power-20_i-2.xlsx,20,20,1,19.41979595623962,27.43870679960363,1.0,9.920831438001539,92
.\All_Excel_Files\sec-20_power-45_i-2.xlsx,sec-20_power-45_i-2.xlsx,20,45,1,18.78758513866611,40.34380629858947,1.0,9.601228655005777,69
.\Int_20sec_Power5-80_Ta_2\sec-20_power-45_i-2.xlsx,sec-20_power-45_i-2.xlsx,20,45,1,18.78758513866611,40.34380629858947,1.0,9.601228655005777,69
.\Int_10sec_Power5-80_Ta_2\sec-10_power-60_i-2.xlsx,sec-10_power-60_i-2.xlsx,10,60,1,18.706234051181994,43.8340541779266,1.0,9.559961019504547,86
.\All_Excel_Files\sec-10_power-60_i-2.xlsx,sec-10_power-60_i-2.xlsx,10,60,1,18.706234051181994,43.8340541779266,1.0,9.559961019504547,86
.\All_Excel_Files\sec-20_power-10_i-2.xlsx,sec-20_power-10_i-2.xlsx,20,10,1,18.246447984760657,34.28842944973085,1.0,9.331973299502716,101
.\Int_20sec_Power5-80_Ta_2\sec-20_power-10_i-2.xlsx,sec-20_power-10_i-2.xlsx,20,10,1,18.246447984760657,34.28842944973085,1.0,9.331973299502716,101
.\Int_20sec_Power5-80_Ta_2\sec-20_power-30_i-2.xlsx,sec-20_power-30_i-2.xlsx,20,30,1,18.136075637790714,48.1558337941102,1.0,9.274267593698605,84
.\All_Excel_Files\sec-20_power-30_i-2.xlsx,sec-20_power-30_i-2.xlsx,20,30,1,18.136075637790714,48.1558337941102,1.0,9.274267593698605,84
.\All_Excel_Files\sec-10_power-50_i-2.xlsx,sec-10_power-50_i-2.xlsx,10,50,1,17.833245699830638,34.34041578784151,1.0,9.125358911873723,97
.\Int_10sec_Power5-80_Ta_2\sec-10_power-50_i-2.xlsx,sec-10_power-50_i-2.xlsx,10,50,1,17.833245699830638,34.34041578784151,1.0,9.125358911873723,97
.\Int_25sec_Power5-80_Ta_2\sec-25_power-20_i-2_2.xlsx,sec-25_power-20_i-2_2.xlsx,25,20,2,17.395340689088147,24.480047506025514,1.0,8.909925222722972,68
.\All_Excel_Files\sec-25_power-20_i-2_2.xlsx,sec-25_power-20_i-2_2.xlsx,25,20,2,17.395340689088147,24.480047506025514,1.0,8.909925222722972,68
.\All_Excel_Files\sec-15_power-5_i-2.xlsx,sec-15_power-5_i-2.xlsx,15,5,1,15.536510060907332,12.10233368301473,1.0,7.993043637994792,113
.\Int_15sec_Power5-80_Ta_2\sec-15_power-5_i-2.xlsx,sec-15_power-5_i-2.xlsx,15,5,1,15.536510060907332,12.10233368301473,1.0,7.993043637994792,113
.\Int_20sec_Power5-80_Ta_2\sec-20_power-20_i-2_2.xlsx,sec-20_power-20_i-2_2.xlsx,20,20,2,15.21944847791543,11.338471301428935,1.0,7.836182832186433,101
.\All_Excel_Files\sec-20_power-20_i-2_2.xlsx,sec-20_power-20_i-2_2.xlsx,20,20,2,15.21944847791543,11.338471301428935,1.0,7.836182832186433,101
.\All_Excel_Files\sec-20_power-25_i-2.xlsx,sec-20_power-25_i-2.xlsx,20,25,1,15.245291309689431,47.94832447158862,1.0,7.828902390680767,92
