raman_shift_cm-1,intensity_norm
689.0,0.13555027055016514
690.0,0.15705294327858668
691.0,0.175106001554347
692.0,0.18403855866168442
693.0,0.18036192575039217
694.0,0.1657694585223279
695.0,0.1456183318393706
696.0,0.12500531831306988
697.0,0.10677701987496198
698.0,0.0918312582138935
699.0,0.0800446164666039
700.0,0.07093397527271449
701.0,0.06397417161947001
702.0,0.05871243740236314
703.0,0.05479246691195092
704.0,0.051946021221016256
705.0,0.04997646122733964
706.0,0.04874299378780425
707.0,0.04814808871431935
708.0,0.04812825725605897
709.0,0.0486477282475399
710.0,0.04969449064614177
711.0,0.051278291520668595
712.0,0.05343034464166773
713.0,0.056204675673678144
714.0,0.059681203196642184
715.0,0.06397084285254229
716.0,0.06922314345687788
717.0,0.07563723955418744
718.0,0.08347725069786881
719.0,0.09309366671760802
720.0,0.10495264872913425
721.0,0.11967525486457348
722.0,0.13808751849274895
723.0,0.1612778223757071
724.0,0.190644592594102
725.0,0.22788245213311464
726.0,0.2747745708133984
727.0,0.33250515249187407
728.0,0.40002634350819477
729.0,0.47121959219422277
730.0,0.5323034944342772
731.0,0.5643491872178704
732.0,0.5545334231621125
733.0,0.5069913924788678
734.0,0.4390819422745919
735.0,0.36828869793438884
736.0,0.3047749538853358
737.0,0.25195345054247
738.0,0.2095764307664069
739.0,0.17605302340381282
740.0,0.14959067943849494
741.0,0.12861690265209005
742.0,0.11187469084525266
743.0,0.09839826417218826
744.0,0.0874572437717695
745.0,0.07850143432937423
746.0,0.0711154097573852
747.0,0.06498374797389435
748.0,0.059865239616652695
749.0,0.05557399944953569
750.0,0.05196568023048965
751.0,0.048927393624364594
752.0,0.046370308681633145
753.0,0.044224185421588215
754.0,0.0424333131843619
755.0,0.040953475959518405
756.0,0.039749675313648626
757.0,0.03879441836045037
758.0,0.03806643279487893
759.0,0.037549710062084435
760.0,0.03723280599251485
761.0,0.037108349040257456
762.0,0.03717272197071297
763.0,0.037425895153419556
764.0,0.037871399788512866
765.0,0.0385164384226552
766.0,0.039372138839096515
