sigma,gamma,rmse,cosine_similarity,correlation,aic,bic
10.333333333333334,1.0,0.26903060783959765,0.5037357884484623,0.12094366285441946,-1834.102170887999,-1825.0000102179122
10.333333333333334,2.5555555555555554,0.26526101017143605,0.5263118358805374,0.13396835244208666,-1853.857391168627,-1844.7552304985402
10.333333333333334,4.111111111111111,0.26198130765410566,0.5461268700190696,0.1454258593652933,-1871.274971637006,-1862.1728109669193
10.333333333333334,5.666666666666667,0.2591952667000218,0.5634439169443554,0.15533143000132085,-1886.2430062025196,-1877.1408455324329
10.333333333333334,7.222222222222222,0.2569554095382263,0.5785356859992922,0.16374803969523424,-1898.3937980358398,-1889.291637365753
10.333333333333334,8.777777777777779,0.25527639598370117,0.5916686501542685,0.17077118853818093,-1907.5717810098772,-1898.4696203397905
10.333333333333334,10.333333333333334,0.25415244697582073,0.6030931586715459,0.17651620023461276,-1913.7494098817233,-1904.6472492116366
10.333333333333334,11.88888888888889,0.2535664210239472,0.6130380391111793,0.18110818444194168,-1916.981264156506,-1907.8791034864194
10.333333333333334,13.444444444444445,0.25349201347306444,0.6217083443180592,0.18467451529879014,-1917.3921460781803,-1908.2899854080936
10.333333333333334,15.0,0.2538959545280004,0.6292851713464419,0.18733950291198767,-1915.16301321713,-1906.0608525470432
11.88888888888889,1.0,0.2661114055597377,0.5253935772881458,0.13906575719511152,-1849.376335980989,-1840.2741753109024
11.88888888888889,2.5555555555555554,0.26284356049542623,0.5447078016538025,0.1500998992550484,-1866.6747511168278,-1857.572590446741
11.88888888888889,4.111111111111111,0.26007306887695353,0.5616905955611113,0.15962219257041338,-1881.5097146300488,-1872.4075539599621
11.88888888888889,5.666666666666667,0.25782291869846635,0.5765717492512639,0.16769744926959976,-1893.6752078876937,-1884.573047217607
11.88888888888889,7.222222222222222,0.2561027878595535,0.5895836644485762,0.17441945212029386,-1903.0469600165225,-1893.9447993464357
11.88888888888889,8.777777777777779,0.25491031816875287,0.6009504325061493,0.17989992457408135,-1909.580884793521,-1900.4787241234342
11.88888888888889,10.333333333333334,0.25423269052412695,0.6108811149007745,0.1842595916474685,-1913.3074576676438,-1904.205296997557
11.88888888888889,11.88888888888889,0.25404837955563336,0.6195661770771967,0.18762133487108798,-1914.3227831731174,-1905.2206225030307
11.88888888888889,13.444444444444445,0.254328975012571,0.62717614167051,0.1901052454453024,-1912.7773418741538,-1903.675181204067
11.88888888888889,15.0,0.2550409707023216,0.6338617068375451,0.19182527980095707,-1908.8635082323071,-1899.7613475622204
13.444444444444445,1.0,0.263333314838881,0.5451218526834078,0.15664937779993166,-1864.0685693897913,-1854.9664087197045
13.444444444444445,2.5555555555555554,0.2606366103929482,0.5615388924634421,0.16555593831965018,-1878.4793948114152,-1869.3772341413285
13.444444444444445,4.111111111111111,0.2584335755239712,0.5759902941779822,0.17307187373300065,-1890.363210986951,-1881.2610503168642
13.444444444444445,5.666666666666667,0.25673330938935685,0.5886809282302663,0.1792921389727242,-1899.6044153468138,-1890.502254676727
13.444444444444445,7.222222222222222,0.25553446827606935,0.599811448631913,0.18432637523039377,-1906.1571625460372,-1897.0550018759504
